Katsumi Kureko
Ryuusuke Koumoto
Madoka Chishiro
Minare Koda
Kakushi Gotou
Hime Gotou
Karin Zaizen
Kaoru Zaizen
Taichi Yoshioka
Tsubasa Umeya
Jin Tsukamoto
Yuri Tamura
Miwa Takei
Akira Takechi
Hikaru Tada
Kiyoshi Satou
Kazuma Sakai
Atsumu Ozaki
Mio Odagiri
Shion Narita
Kozue Kurata
Gaku Ishikawa
Seigo Ibuki
Moka Gotou
Aoyama-kun
Gaku Yaotome
Ryuunosuke Tsunashi
Ten Kujou
Tsumugi Takanashi
Momose Sunohara
Yukito Orikasa
Tamaki Yotsuba
Nagi Rokuya
Sougo Ousaka
Yamato Nikaidou
Riku Nanase
Mitsuki Izumi
Iori Izumi
Satoru Tanaka
Aoto Gonzales Takuma
Akira Kageura
Keppei Washidzu
Towa
Momoka Shijou
Takao Oigami
Violet North
Gekkou Nanase
Youko Nanase
Hotaru Kumagai
Futaba Ida
Makoto Hitouji
Tsuganashi Aiba
Takeshi Nanase
Kurumi Isoshima
Kazumi Ida
Mui Aiba
Shizue Satou
NHK Agents
Go Minegishi
Nanako Midorikawa
Megumi Kobayashi
Hitomi Kashiwa
Akira Jougasaki
Kaoru Yamazaki
Tatsuhiro Satou
Misaki Nakahara
Ren Uesugi
Mihato Uesugi
Shinra Kuonji
Yume Kuonji
Miyu Kuonji
Benisu
Takae Tachibana
Gakuto Shimazu
Reiko Shimazu
Koyuki Sakakibara
Chika Ogasawara
Takuya Morooka
Tadakatsu Minamoto
Saki Mimori
Ageha Kuki
Shoichi Kazama
Tatsuko Itagaki
Kokoro Fushikawa
Margit Eberbach
Cookie
Mayo Amakasu
Miyako Shiina
Yamato Naoe
Yukie Mayuzumi
Kazuko Kawakami
Momoyo Kawakami
Christiane Friedrich
Ayaka Houjou
Jirou Yoshida
Tsuyoshi Yamabe
Natsuo
Tsunehito Houjou
Mitsuru Fukushige
Masahiro Setagawa
Kensuke Ooshiba
Kousuke Ooshiba
Asaya Hasekura
Akimi Sakurai
Gennosuke Miura
Kouki Mikagami
Kaori Makishima
Kaede Makabe
Sayaka Kakei
Ria Hagry
Misaki Fujima
Sena Akagi
Iwao Tamura
Manami Tamura
Meruru
Kanako Kurusu
Yoshino Kousaka
Daisuke Kousaka
Setsuna Fate Iori
Kirara Hoshino
Tamaki Gokou
Bridget Evans
Ayase Aragaki
Kouhei Akagi
Wilbert
Nanao Tachibana
Liala
Rikka Kajiura
Balflear
Zolgear
Zest
Valgar
Jin Toujou
Yahiro Takigawa
Kyouichi Shiba
Shella
Kurumi Nonaka
Takashi Hayase
Chisato Hasegawa
Basara Toujou
Yuki Nonaka
Mio Naruse
Maria Naruse
Edward Walker
Justin Mikemeyer
Du Pont
Chiaki Sakashita
Yoshihiko Ochi
Megumi Komori
Ritsu Koide
Saaya Kaneda
Sarina Irisu
Kiyoka Irisu
Milliela Stanfield
Mifuyu Sakurai
Minori Sakuma
Haruna Ibuki
Tamaki Hirooka
Robert Wallson
Chizuru Tachibana
Amane Suou
Yumiko Sakaki
Heath Oslo
Michiru Matsushima
Asako Kusakabe
Sachi Komine
Kazuki Kazami
Makina Irisu
Yuria Harudera
Agnes Garrett
Chiara Farrell
Daniel Born
Yuuji Kazami
Aikawa
Ai Coleman
Kai
Risu
Chidaruma
Chouta
Dokuga
Fukuyama
Gyoza Otoko
Haru
Jonson
Kawajiri
Kikurage
Kirion
Natsuki
Saji
Shou
Tanba
Tetsujou
Thirteen
Ton
Turkey
Ushishimada
Yasaka
Kasukabe
Bauks
Shin
Noi
Nikaidou
Kaiman
Fujita
En
Ebisu
Utsugi Tsukimiya
Kotoko Sumiso
Suzuran Mogami
Hibiki Kimiya
Cerberus
Seri Koyuki
Kabuto Hanadori
Classic Literature Teacher
Jun Seki
Mother Seki
Uzawa's Friend
Akiyasu Uzawa
Takeo Toyama
Tani
PE Teacher
Yuu Nakama
Music Teacher
Math Teacher
Takahiro Maeda
Japanese Teacher
Tomoka Hashino
Sakurako Gotou
Chemistry Teacher
Art Teacher
Adachi
Rumi Yokoi
Toshinari Seki
Ikuto Tsumura
Chiyuki Fujito
Seigi Nakata
Richard Ranashinha de Vulpian
Lemon Yamabuki
Sakura Nanamine
Sousuke Mitsuba
Teru Minamoto
Natsuhiko Hyuuga
Akane Aoi
Nene Yashiro
Kou Minamoto
Hanako-kun
Altimia Azurite Altar
Barbaroy Bad Burn
Shu Starling
Mr. Franklin
Hugo Lesseps
Rook Holmes
Liliana Grandria
Milianne Grandria
Tsukuyo Fusou
Figaro
Cocytus
Cheshire
Babylon
Marie Adler
Nemesis
Reiji Mukudori
Vanabelle
Daisuke
Itsuki
Sumie Kawai
Kiriko
Nakai
Obito
Ookura
Ryou
Sanae
Terai
Yui
Yano
Yamagishi
Kanzaki Urashima
Uragami
Mamoru Uda
Tarou
Mother Tamiya
Ryouko Tamiya
Haruki Tachikawa
Yuuko Tachikawa
Akiho Suzuki
Hideo Shimada
Sasaki
Kazuki Nagai
Satomi Murano
Mitsuyo
Mitsuo
Miki
Maesawa
Kusano
Shirou Kuramori
Kana Kimishima
Kamijou
Joe
Nobuko Izumi
Kazuyuki Izumi
Takeshi Hirokawa
Hirama
Hikawa
Makiko Hayase
Gotou
Taku Furudani
Chouji
B
A
Migi
Shinichi Izumi
Issac Wisemel
Randy Weber
Wallace
Helmut von Giuseppe
Duke Stone
Eva Stone
Tony Stone
Tooru Shiga
Atsushi Motegi
Raymond McGuire
Claudia McCunnen
Sanae Kubota
Hirono Inada
Richard Harrington
Kaiten Godo
Daisuke Godo
Lizzie Garland
Simon Gant
Mio Fujieda
Anton Claude
Zwei
Ein
Cal Devens
Ranka Ookami
Yui
May
Kuromu
Kasumi
Kanade
Iz
Sally
Maple
Tsubame Mizusaki
Sayaka Kanamori
Midori Asakusa
Saki Yumihara
Detective Terada
Karin Nanase
Kurou Sakuragawa
Kotoko Iwanaga
Mai Tadakusa
Yanna Sasatsu
Kaito Jin
Grigori Rasputin
Sergeyevich Shpukin
Charles (Carl)
David
Kagekiri
Lucy
Haruno Yanagi
Kimihiro Watanuki
Hiro Tsukiyama
Kuroto Mogari
Iori Matsuo
Kutou
Shun Fujimura
Mana Hiiragi
Julia Silverstein
Phillip Rosenberg
Akihiro Okamura
Mui
Moses
Monique
George Miyagusuku
Riku Miyagusuku
Min
Anna Marie
Nathan Mahler
Lulu
Lewis
Mother Kinjou
Kaori Kinjou
Karman
Mao Jahana
Irène
James Ironside
Gudrif
Grigori
Amshel Goldsmith
Solomon Goldsmith
Joel Goldschmidt VI
Joel Goldschmidt
Gin
Karl Fei-Ong
Diva
Darth
Aston Collins
Clara
Van Argiano
Ted A. Adams
Saya Otonashi
Kai Miyagusuku
Haji
Kouchou
David
Saya
Kanako Tsutsutori
Itsuki Tomofusa
Shinichirou Tokizane
Fumito Nanahara
Nene Motoe
Nono Motoe
Tadayoshi Kisaragi
Dog
Yuuka Amino
Saya Kisaragi
Kaito Ayanokouji
Furukawa
Ichirou Hiiragi
Suzune Hiiragi
Inukai
Xue Lan Liu
Oboro
Rika
Rokko
Sakaki
Shi Ming
Mio Tachikawa
Yukimasa Tagonaka
Tanaka
Terada
Wang
Sui
Ryuuji Maesaka
Hiroyuki Kyouda
Banda-kun
Kaname Sudou
Souta
Keiichi Katsura
Rein Kashiwagi
Shuka Karino
Mikage Sakurai
Ao Manaka
Mira Kinohata
Mai Inose
Zaza
Shizuno
Somali
Golem
Minori
Kenji Madarame
Therestina Kihara Lifeline
Febri
Haruki Aritomi
Banri Edasaki
Erii Haruue
Hatsuya Kaitabi
Gensei Kihara
Nayuta Kihara
Harumi Kiyama
Mii Konori
Mitori Kouzaku
Ryouko Kuriba
Arisa Meigo
MISAKA 1
MISAKA 9982
Keitz Nokleben
Shinobu Nunotaba
Tsuzuri Tessou
Trick
Aomi Yanagisako
Kinuho Wannai
Junko Hokaze
Maaya Awatsuki
Momoko Togame
Rena Minami
Little Kyuubey
Kuroe
Kaede Akino
Tsuruno Yui
Iroha Tamaki
Yachiyo Nanami
Felicia Mitsuki
Sana Futaba
Aya Yokota
Yuka Teramoto
Reina
Motoi
Yumeri Mizumori
Sorane Matsuyama
Kumasa
Reo Igarashi​
Maki Hakata
Maina Ichii
Eripiyo
Lina Inverse
Volkan
Childman Powderfield
Leticia Macredy
Hartia Allenford
Dortin
Azalea Cait-Sith
Orphen
Majic Lin
Cleao Everlasting
Ron
President
Katsuragi
Jin
Tsukasa
Satoru
Hiroki
Hayashi
Zefie
Albireo
Kazu
Luke
Mistral
Wiseman
Tom
Sanjuro
Reki
Ouka
Morti
Mireille
Michi
Magi
Komiyan III
Katsuyuki
Kamui
Hotaru
Hayato
Daisuke
Shugo Kunisaki
Rena Kunisaki
Ichiro Sato
Masaya Makino
Tomonari Kasumi
Kaoru Asaba
Miho Aihara
Kyouko Toono
Junichiro Tokuoka
Mai Minase
Yuki Aihara
Sora
Skeith
Silver Knight
Morganna Mode Gone
Macha
Kaochin
Harald Hoerwick
Helba
Crim
BT
Balmung
Aura
A-20
Tsukasa
Subaru
Mimiru
Bear
Suou
Yurako Somaki
Moyako Somaki
Shingo Shiba
Chihaya Senou
Hitomi Kuga
Yasuyuki Kuga
Kirio
Kuuko Karahari
Kyousuke Karahari
Mahiru Hyuuga
Family Head Hyuuga
Koushirou Hyuuga
Hibino Shiba
Kyouhei Kuga
Utao Kuga
Aki Kuga
Hiroyuki Yoshida
Anna Suehiro
Momoko Shirai
Shiina
Riku Seya
Kanako Sasa
Chizuru Sarashina
Manabu Saisho
Takanori Oka
Satomi Nitori
Maho Nitori
Fumiya Ninomiya
Maiko
Kentaro Kaneda
Shinpei Doi
Makoto Ariga
Yoshino Takatsuki
Shuuichi Nitori
Saori Chiba
Kouta Tomiie
Seiji Takasu
Sonoko Takasu
Stalker man
Yuriko Mitsui
Kuroma
Inage
Rikurou Aisaka
Yuu Aisaka
Taiga Aisaka
Ami Kawashima
Yuusaku Kitamura
Minori Kushieda
Ryuuji Takasu
Sena Hamada
Kouji Haruta
Inko
Sakura Kanou
Sumire Kanou
Nanako Kashii
Maya Kihara
Yuri Koigakubo
Hisamitsu Noto
Yasuko Takasu
Koneko
Monaka Miyama-Uguisu
Night
Drac Dragulesc
Michael Gedouin
Lewin Light
Lucifer
Lund
Osceola Redarm
Strom
Lucy Yang
Lena
Usamaro
Cheng-Long Liu
Saburouta Toudou
Tatsuma's Father
Torako Suguro
Haruta Shishamo
Juuzou Shima
